Order ID,Product,Category,Amount,Date,Country,Month from date,Amount_Q1,Count_Q2,Amount_Q3,Amount_Q4,Count_Q5,FORMULA OF  ANSWERS
41,Compass,Stationary,6982,24-03-2016,Madhya Pradesh,3,,,,,,
42,Scale,Stationary,4029,26-03-2016,Telangana,3,,,,,,
43,Shoe,Footwear,3665,26-03-2016,Uttar Pradesh,3,,,,,,
44,Scale,Stationary,4781,29-03-2016,Delhi,3,,,,,,
45,Pen,Stationary,3663,30-03-2016,Telangana,3,,,,,,
46,Pencil,Stationary,6331,01-04-2016,Delhi,4,,,,,,
47,Pencil,Stationary,4364,01-04-2016,West Bengal,4,,,,,,
48,Shoe,Footwear,607,03-04-2016,Kerala,4,,,,,,
49,Scale,Stationary,1054,06-04-2016,Tamilnadu,4,,,,,,
50,Shoe,Footwear,7659,06-04-2016,Madhya Pradesh,4,,,,,,
51,Scale,Stationary,235,17-04-2016,Madhya Pradesh,4,,,,,,
52,Compass,Stationary,1113,18-04-2016,Telangana,4,,,,,,
53,Pencil,Stationary,1128,21-04-2016,Madhya Pradesh,4,,,,,,
54,Scale,Stationary,4387,23-04-2016,Madhya Pradesh,4,,,,,,
55,Pencil,Stationary,2763,25-04-2016,West Bengal,4,,,,,,
56,Scale,Stationary,7898,27-04-2016,Kerala,4,,,,,,
57,Scale,Stationary,2427,30-04-2016,Delhi,4,,,,,,
58,Scale,Stationary,8663,01-05-2016,Tamilnadu,5,,,,,,
59,Shoe,Footwear,2789,01-05-2016,Uttar Pradesh,5,,,,,,
60,Scale,Stationary,4054,02-05-2016,Madhya Pradesh,5,,,,,,
61,Pen,Stationary,2262,02-05-2016,Madhya Pradesh,5,,,,,,
62,Pen,Stationary,5600,02-05-2016,Kerala,5,,,,,,
63,Scale,Stationary,5787,03-05-2016,Madhya Pradesh,5,,,,,,
64,Compass,Stationary,6295,03-05-2016,West Bengal,5,,,,,,
65,Scale,Stationary,474,05-05-2016,Uttar Pradesh,5,,,,,,
66,Pencil,Stationary,4325,05-05-2016,Delhi,5,,,,,,
67,Scale,Stationary,592,06-05-2016,Madhya Pradesh,5,,,,,,
68,Compass,Stationary,4330,08-05-2016,Madhya Pradesh,5,,,,,,
69,Scale,Stationary,9405,08-05-2016,Kerala,5,,,,,,
70,Pencil,Stationary,7671,08-05-2016,Delhi,5,,,,,,
71,Shoe,Footwear,5791,08-05-2016,Kerala,5,,,,,,
72,Scale,Stationary,6007,12-05-2016,West Bengal,5,,,,,,
73,Scale,Stationary,5030,14-05-2016,Uttar Pradesh,5,,,,,,
74,Shoe,Footwear,6763,14-05-2016,Kerala,5,,,,,,
75,Scale,Stationary,4248,15-05-2016,Telangana,5,,,,,,
76,Scale,Stationary,9543,16-05-2016,Delhi,5,,,,,,
77,Socks,Footwear,7094,16-05-2016,Uttar Pradesh,5,,,,,,
78,Shoe,Footwear,6087,18-05-2016,Madhya Pradesh,5,,,,,,
79,Pencil,Stationary,4264,19-05-2016,Telangana,5,,,,,,
80,Pen,Stationary,9333,20-05-2016,Madhya Pradesh,5,,,,,,
81,Pen,Stationary,8775,22-05-2016,Uttar Pradesh,5,,,,,,
82,Scale,Stationary,5632,25-05-2016,Madhya Pradesh,5,,,,,,
83,Scale,Stationary,4904,25-05-2016,Tamilnadu,5,,,,,,
84,Socks,Footwear,1002,25-05-2016,Telangana,5,,,,,,
85,Compass,Stationary,8141,26-05-2016,Kerala,5,,,,,,
86,Compass,Stationary,3644,26-05-2016,West Bengal,5,,,,,,
87,Compass,Stationary,1380,26-05-2016,Telangana,5,,,,,,
88,Scale,Stationary,5182,27-05-2016,Madhya Pradesh,5,,,,,,
89,Pencil,Stationary,2193,27-05-2016,Delhi,5,,,,,,
90,Pen,Stationary,3647,28-05-2016,Madhya Pradesh,5,,,,,,
91,Pencil,Stationary,4104,28-05-2016,Madhya Pradesh,5,,,,,,
92,Shoe,Footwear,7457,28-05-2016,Madhya Pradesh,5,,,,,,
93,Pen,Stationary,3767,29-05-2016,West Bengal,5,,,,,,
94,Scale,Stationary,3917,04-06-2016,Madhya Pradesh,6,,,,,,
95,Pencil,Stationary,521,04-06-2016,West Bengal,6,,,,,,
96,Pencil,Stationary,5605,10-06-2016,Delhi,6,,,,,,
97,Scale,Stationary,6941,20-06-2016,West Bengal,6,,,,,,
98,Scale,Stationary,107,25-06-2016,Delhi,6,,,,,,
99,Scale,Stationary,4243,26-06-2016,Madhya Pradesh,6,,,,,,
100,Compass,Stationary,4514,27-06-2016,Madhya Pradesh,6,,,,,,
101,Pen,Stationary,5480,02-07-2016,Madhya Pradesh,7,,,,,,
102,Scale,Stationary,5002,02-07-2016,Delhi,7,,,,,,
103,Scale,Stationary,8530,05-07-2016,West Bengal,7,,,,,,
104,Compass,Stationary,4819,07-07-2016,Tamilnadu,7,,,,,,
105,Compass,Stationary,2318,13-07-2016,Kerala,7,,,,,,
106,Compass,Stationary,220,20-07-2016,Kerala,7,,,,,,
107,Compass,Stationary,6341,20-07-2016,Tamilnadu,7,,,,,,
108,Pencil,Stationary,330,20-07-2016,Uttar Pradesh,7,,,,,,
109,Compass,Stationary,850,22-07-2016,Tamilnadu,7,,,,,,
110,Scale,Stationary,8986,23-07-2016,Kerala,7,,,,,,
111,Shoe,Footwear,5751,28-07-2016,Kerala,7,,,,,,
112,Pencil,Stationary,1704,29-07-2016,Kerala,7,,,,,,
113,Scale,Stationary,7966,30-07-2016,Telangana,7,,,,,,
114,Scale,Stationary,852,31-07-2016,Madhya Pradesh,7,,,,,,
115,Socks,Footwear,8416,31-07-2016,Telangana,7,,,,,,
116,Scale,Stationary,7144,01-08-2016,Delhi,8,,,,,,
117,Compass,Stationary,859,03-08-2016,Madhya Pradesh,8,,,,,,
118,Scale,Stationary,2836,13-08-2016,Uttar Pradesh,8,,,,,,
119,Shoe,Footwear,1743,19-08-2016,Madhya Pradesh,8,,,,,,
120,Pencil,Stationary,3844,23-08-2016,Delhi,8,,,,,,
121,Pencil,Stationary,7490,24-08-2016,Delhi,8,,,,,,
122,Pencil,Stationary,7333,27-08-2016,West Bengal,8,,,,,,
123,Shoe,Footwear,7654,28-08-2016,Madhya Pradesh,8,,,,,,
124,Pencil,Stationary,3944,29-08-2016,Kerala,8,,,,,,
125,Socks,Footwear,5761,29-08-2016,Uttar Pradesh,8,,,,,,
126,Scale,Stationary,6864,01-09-2016,Tamilnadu,9,,,,,,
127,Scale,Stationary,4016,01-09-2016,Uttar Pradesh,9,,,,,,
128,Scale,Stationary,1841,02-09-2016,Madhya Pradesh,9,,,,,,
129,Scale,Stationary,424,05-09-2016,Telangana,9,,,,,,
130,Scale,Stationary,8765,07-09-2016,Kerala,9,,,,,,
131,Scale,Stationary,5583,08-09-2016,Madhya Pradesh,9,,,,,,
132,Pencil,Stationary,8489,11-09-2016,Madhya Pradesh,9,,,,,,
133,Scale,Stationary,7090,11-09-2016,Delhi,9,,,,,,
134,Scale,Stationary,7880,15-09-2016,Madhya Pradesh,9,,,,,,
135,Compass,Stationary,3861,18-09-2016,Madhya Pradesh,9,,,,,,
136,Scale,Stationary,6162,20-09-2016,Madhya Pradesh,9,,,,,,
137,Pen,Stationary,5523,25-09-2016,Telangana,9,,,,,,
138,Shoe,Footwear,7251,26-09-2016,Uttar Pradesh,9,,,,,,
139,Compass,Stationary,6187,27-09-2016,Telangana,9,,,,,,
140,Scale,Stationary,3210,29-09-2016,Uttar Pradesh,9,,,,,,
141,Shoe,Footwear,682,29-09-2016,Uttar Pradesh,9,,,,,,
142,Scale,Stationary,793,03-10-2016,Telangana,10,,,,,,
143,Shoe,Footwear,5346,04-10-2016,Uttar Pradesh,10,,,,,,
144,Scale,Stationary,7103,07-10-2016,Tamilnadu,10,,,,,,
145,Shoe,Footwear,4603,10-10-2016,Madhya Pradesh,10,,,,,,
146,Pencil,Stationary,8160,16-10-2016,Delhi,10,,,,,,
147,Pencil,Stationary,7171,23-10-2016,Kerala,10,,,,,,
148,Scale,Stationary,3552,23-10-2016,Tamilnadu,10,,,,,,
149,Scale,Stationary,7273,25-10-2016,Telangana,10,,,,,,
150,Scale,Stationary,2402,26-10-2016,Uttar Pradesh,10,,,,,,
151,Scale,Stationary,1197,26-10-2016,Telangana,10,,,,,,
152,Socks,Footwear,5015,26-10-2016,Telangana,10,,,,,,
153,Compass,Stationary,5818,02-11-2016,Madhya Pradesh,11,,,,,,
154,Scale,Stationary,4399,03-11-2016,Kerala,11,,,,,,
155,Shoe,Footwear,3011,03-11-2016,Madhya Pradesh,11,,,,,,
156,Pencil,Stationary,4715,09-11-2016,Kerala,11,,,,,,
157,Pencil,Stationary,5321,12-11-2016,Delhi,11,,,,,,
158,Scale,Stationary,8894,15-11-2016,Madhya Pradesh,11,,,,,,
159,Shoe,Footwear,4846,25-11-2016,Kerala,11,,,,,,
160,Compass,Stationary,8283,26-11-2016,Kerala,11,,,,,,
161,Compass,Stationary,9990,28-11-2016,West Bengal,11,,,,,,
162,Scale,Stationary,9014,28-11-2016,Telangana,11,,,,,,
163,Pencil,Stationary,1942,29-11-2016,Delhi,11,,,,,,
164,Scale,Stationary,7223,30-11-2016,Madhya Pradesh,11,,,,,,
165,Shoe,Footwear,4673,02-12-2016,Madhya Pradesh,12,,,,,,
166,Shoe,Footwear,9104,04-12-2016,Delhi,12,,,,,,
167,Pencil,Stationary,6078,05-12-2016,Madhya Pradesh,12,,,,,,
168,Socks,Footwear,3278,06-12-2016,Uttar Pradesh,12,,,,,,
169,Scale,Stationary,136,12-12-2016,West Bengal,12,,,,,,
170,Scale,Stationary,8377,12-12-2016,Telangana,12,,,,,,
171,Scale,Stationary,2382,12-12-2016,Madhya Pradesh,12,,,,,,
172,Scale,Stationary,8702,15-12-2016,Uttar Pradesh,12,,,,,,
173,Scale,Stationary,5021,16-12-2016,Madhya Pradesh,12,,,,,,
174,Pencil,Stationary,1760,16-12-2016,Telangana,12,,,,,,
175,Scale,Stationary,4766,18-12-2016,Uttar Pradesh,12,,,,,,
176,Socks,Footwear,1541,19-12-2016,Kerala,12,,,,,,
177,Compass,Stationary,2782,20-12-2016,Kerala,12,,,,,,
178,Pencil,Stationary,2455,20-12-2016,West Bengal,12,,,,,,
179,Pencil,Stationary,4512,22-12-2016,Tamilnadu,12,,,,,,
180,Pencil,Stationary,8752,22-12-2016,Uttar Pradesh,12,,,,,,
181,Shoe,Footwear,9127,25-12-2016,Madhya Pradesh,12,,,,,,
182,Pencil,Stationary,1777,28-12-2016,Delhi,12,,,,,,
183,Socks,Footwear,680,28-12-2016,Delhi,12,,,,,,
184,Compass,Stationary,958,29-12-2016,Madhya Pradesh,12,,,,,,
185,Shoe,Footwear,2613,29-12-2016,Telangana,12,,,,,,
186,Shoe,Footwear,339,30-12-2016,Telangana,12,,,,,,
